Sampler,Epsilon,Likelihood,Perturbation Variance,Burnin Offset,Iter. Time mean,Iter. Time std,W L2-Error mean,W L2-Error std
MALASampler,0.1,Marginal,1.0,100.0,0.052925752179178304,0.0010763371864298916,0.13799464941024778,0.04144835677775427
MALASampler,0.1,Recovery,1.0,100.0,0.06999309232096394,0.006915860392182465,0.1428679989650845,0.04694993253345916
ULASampler,0.01,Marginal,1.0,100.0,0.012852736054537052,0.0008365506947485852,0.6244761538505554,0.11760813580332996
ULASampler,0.01,Recovery,1.0,100.0,0.016492771242329018,0.005230169182856295,0.8569090688228607,0.11289856705188418
HMCSampler,0.1,Marginal,1.0,100.0,0.061176973784376004,0.004881212616643368,0.14713830299675462,0.05602196183198629
HMCSampler,0.1,Recovery,1.0,100.0,0.07187645198348051,0.005639302767049378,0.14784388400614257,0.0539836509611786
ULASampler,0.01,Recovery,0.5,100.0,0.01541192258288244,0.0012640093866578947,0.4722386372089386,0.08043197965487447
ULASampler,0.01,Recovery,0.1,100.0,0.015869693612765693,0.0024126392115767677,2.8189834117889405,0.20576989692188177
MALASampler,0.1,Recovery,0.5,100.0,0.06812695329318305,0.004078282320669042,0.3239327261596918,1.0474696412341657
MALASampler,0.1,Recovery,0.1,100.0,0.0676158870054868,0.006471683879450575,169.54467315673827,45.800406736376615
HMCSampler,0.1,Recovery,0.5,100.0,0.07437530974347988,0.004816344261774848,0.16009596869349477,0.06041845924793334
HMCSampler,0.1,Recovery,0.1,100.0,0.07528946912838128,0.006315223826517091,7.5525648021698,0.3751248266133976
ULASampler,0.01,Marginal,1.0,50.0,0.007593393344917374,0.001394656638869775,0.9367300915718079,0.14566076239584114
ULASampler,0.01,Recovery,1.0,50.0,0.008881666215961587,0.0013840549407888028,1.5233850240707398,0.12120003008653735
MALASampler,0.1,Marginal,1.0,50.0,0.02747586723319992,0.002915265990427593,0.15411135643720622,0.044584300431124206
MALASampler,0.1,Recovery,1.0,50.0,0.03686661130679633,0.003683211874828166,0.15016911357641216,0.05578940456007155
HMCSampler,0.1,Marginal,1.0,50.0,0.030165505552578544,0.004417452503235417,0.21500856831669807,0.07998957372298297
HMCSampler,0.1,Recovery,1.0,50.0,0.03843669472810978,0.004391169364589086,0.23266839250922203,0.08526328012940268
ULASampler,0.01,Recovery,0.1,50.0,0.009101741328268109,0.0013226061044434992,2.8852774572372435,0.24024246446133676
ULASampler,0.01,Recovery,0.5,50.0,0.008951021760164617,0.001519795045968581,1.4614284062385559,0.10368948591381796
MALASampler,0.1,Recovery,0.5,50.0,0.03411517467192992,0.0019316351786487394,0.28518816314637657,0.6106114271915367
MALASampler,0.1,Recovery,0.1,50.0,0.03800267094361758,0.003273120620803603,189.83946533203124,27.30224684576273
HMCSampler,0.1,Recovery,0.5,50.0,0.03921654393534383,0.0033590167431660775,0.1797573049366474,0.07943734815990927
HMCSampler,0.1,Recovery,0.1,50.0,0.03888201462243029,0.0023677518647494088,9.096976413726807,0.5047326868579765
ULASampler,0.01,Marginal,1.0,20.0,0.0038427716505551384,0.0005724725560248837,1.0307251238822936,0.1858275997357001
ULASampler,0.01,Recovery,1.0,20.0,0.004412988861481508,0.000532208520734009,1.95919894695282,0.19273527932234677
MALASampler,0.1,Marginal,1.0,20.0,0.01183321860128032,0.000654756613285637,0.28518054202198984,0.09528352152404898
MALASampler,0.1,Recovery,1.0,20.0,0.01550656672231181,0.0009985555958511127,0.3115239006280899,0.08203206238096254
